Course,Sect.,Description,Credits,Instructor,Start Date,End Date,Grade,Location,Days and Times,
CIV 203,1,Ancient World: Humanities,3.00,"Monsma, Frederick",09/04/2022,12/01/2022,***,A-B1-08,MON 9:45am-11:15am,Lecture
"",,,,"Monsma, Frederick",09/04/2022,12/01/2022,,A-B1-08,WED 9:45am-11:15am,Lecture
ENG 101,3,Argument,3.00,"Danilovich, Stephen",09/04/2022,12/01/2022,***,A-B1-11,TUE 10:30am-11:30am,Lecture
"",,,,"Danilovich, Stephen",09/04/2022,12/01/2022,,A-B1-11,THU 10:30am-11:30am,Lecture
"",,,,"Danilovich, Stephen",09/04/2022,12/01/2022,,A-B1-11,SUN 10:30am-11:30am,Lecture
ENGR 344,1,Mechanics I,3.00,"Hassan, Aram",09/04/2022,12/01/2022,***,B-F2-31,TUE 1:00pm-2:00pm,Lecture
"",,,,"Hassan, Aram",09/04/2022,12/01/2022,,B-F2-31,THU 1:00pm-2:00pm,Lecture
"",,,,"Hassan, Aram",09/04/2022,12/01/2022,,B-F2-31,SUN 1:00pm-2:00pm,Lecture
ITE 202,1,IT System,3.00,"Lukwesa, Katongo",09/04/2022,12/01/2022,***,B-B1-01,MON 12:30pm-2:00pm,Lecture
"",,,,"Lukwesa, Katongo",09/04/2022,12/01/2022,,B-B1-01,WED 12:30pm-2:00pm,Lecture
STT 201,2,Statistics,3.00,"Nikpour, Mehdi",09/04/2022,12/01/2022,***,A-B1-42,TUE 9:15am-10:15am,Lecture
"",,,,"Nikpour, Mehdi",09/04/2022,12/01/2022,,A-B1-42,THU 9:15am-10:15am,Lecture
"",,,,"Nikpour, Mehdi",09/04/2022,12/01/2022,,A-B1-42,SUN 9:15am-10:15am,Lecture
